"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","isRetweet","longitude","latitude"
"10202","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/rfwgmfMXtO",FALSE,0,"yambarnlagos1",2021-01-24 06:30:10,TRUE,"1353228579929288705","1353228582773002240","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10203","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/Mri4ZBPpXr",FALSE,0,"yambarnlagos1",2021-01-24 06:30:09,TRUE,"1353228577123262464","1353228579929288705","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10204","And Conor wanted to scrap again with Khabib <U+0001F602> #UFC257 https://t.co/4kPi1nd9zO",FALSE,12,NA,2021-01-24 06:30:09,FALSE,NA,"1353228579572641792",NA,"Areeyaa_2",3,FALSE,NA,NA
"10205","Conor's kryptonite:
A granite chin fighter with excellent cardio and a decent boxing skills

#UFC257",FALSE,1,NA,2021-01-24 06:30:09,FALSE,NA,"1353228578100441090",NA,"haritstaufiq",0,FALSE,NA,NA
"10206","What a night of fights! Hats off to the <U+0001F48E> #UFC257",FALSE,0,NA,2021-01-24 06:30:09,FALSE,NA,"1353228577374941185",NA,"Arc_of_Darkness",0,FALSE,NA,NA
"10207","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/V5kjixiAqr",FALSE,0,"yambarnlagos1",2021-01-24 06:30:09,TRUE,"1353228574208253953","1353228577123262464","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10208","<U+0001F3B6>For The Best Night's Sleep In The Whole Wide World, Visit My Pillow Dot Com<U+0001F3B6><U+0001F3B5><U+0001F3B6><U+0001F4A4><U+0001F4A4>
#UFC257 
#MyPillow https://t.co/IQtJyHfDhs",FALSE,0,NA,2021-01-24 06:30:08,FALSE,NA,"1353228574497464320",NA,"SoCalPete",0,FALSE,NA,NA
"10209","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/rubPepOrp1",FALSE,0,"yambarnlagos1",2021-01-24 06:30:08,TRUE,"1353228571205115904","1353228574208253953","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10210","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/pTdKtnitzQ",FALSE,0,"yambarnlagos1",2021-01-24 06:30:07,TRUE,"1353228568231370752","1353228571205115904","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10211","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/k00jcXyGLR",FALSE,0,"yambarnlagos1",2021-01-24 06:30:07,TRUE,"1353228565224058881","1353228568231370752","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10212","Saw #connormcgregor at the park asleep on the bench!! Couldn’t believe it #UFC257 #McGregorPoirier #McGregor https://t.co/h4jL6bXS5o",FALSE,1,NA,2021-01-24 06:30:07,FALSE,NA,"1353228568080379904",NA,"EvilSiimonCFC",0,FALSE,NA,NA
"10213","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/y5AspRDuW2",FALSE,0,"yambarnlagos1",2021-01-24 06:30:06,TRUE,"1353228562107658242","1353228565224058881","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10214","Conor hasn’t fought since Floyd snd that don’t count cuz that wasn’t mma mma is a different type of beast u can’t t… https://t.co/bL8wg11JmF",FALSE,2,NA,2021-01-24 06:30:06,TRUE,NA,"1353228564469080065",NA,"MR_TOO_SOON",0,FALSE,NA,NA
